WORKSHOP 3 EXPORTED DATA: [C:\Workshop 96\Data Manager\Sharan Chandran\Ti6242\Ti6242-4-Old-FS\Day 3 - 7106.W02 - 2]
*************************************************************************************************
Source of data: ToolKit
WS3 File Version: 1.04
Number of bytes in subfile: 1113189
Total number of data points: 92734
Test date: 09/01/2018
Test time: 16:26:51
Player Step: 1
Step Capture No: 1
Actuator: 2
*************************************************************************************************
Actuator: 1  Channel:0,  Actuator: 1  Channel:1,  Actuator: 1  Channel:2,  
Load Current (kN),  Stroke Current (mm),  TIME (S),  
-0.02,  0.00,  0.0000,  
-0.02,  0.00,  0.1563,  
-0.02,  0.00,  0.3120,  
-0.02,  0.00,  0.4531,  
-0.02,  0.00,  0.5942,  
-0.02,  0.00,  0.7651,  
-0.02,  0.00,  0.9063,  
-0.02,  0.00,  1.0620,  
2.40,  0.05,  1.2031,  
6.58,  0.16,  1.3750,  
8.22,  0.20,  1.5151,  
10.26,  0.26,  1.6870,  
13.00,  0.34,  1.8281,  
15.69,  0.42,  2.0000,  
15.21,  0.41,  2.1401,  
11.98,  0.33,  2.2974,  
10.08,  0.27,  2.4370,  
7.73,  0.21,  2.5942,  
5.15,  0.15,  2.7344,  
2.34,  0.07,  2.8901,  
0.38,  0.03,  3.0313,  
2.53,  0.08,  3.1870,  
5.10,  0.14,  3.3281,  
7.85,  0.21,  3.5000,  
10.61,  0.28,  3.6401,  
12.66,  0.34,  3.7974,  
15.41,  0.42,  3.9370,  
16.02,  0.44,  4.0942,  
13.86,  0.38,  4.2344,  
11.24,  0.31,  4.3901,  
8.46,  0.24,  4.5313,  
5.74,  0.16,  4.6870,  
3.64,  0.11,  4.8281,  
0.92,  0.04,  4.9844,  
1.82,  0.06,  5.1250,  
4.53,  0.13,  5.2974,  
7.25,  0.20,  5.4370,  
9.32,  0.25,  5.5942,  
12.07,  0.33,  5.7344,  
14.81,  0.40,  5.8901,  
16.74,  0.46,  6.0313,  
14.65,  0.40,  6.1870,  
11.91,  0.33,  6.3281,  
9.17,  0.26,  6.5000,  
6.43,  0.18,  6.6401,  
3.62,  0.11,  6.8120,  
0.89,  0.04,  6.9531,  
1.86,  0.06,  7.1250,  
4.57,  0.13,  7.2651,  
7.30,  0.20,  7.4370,  
9.36,  0.25,  7.5781,  
12.11,  0.33,  7.7344,  
14.86,  0.41,  7.8750,  
16.73,  0.46,  8.0313,  
14.66,  0.41,  8.1724,  
11.91,  0.33,  8.3281,  
9.00,  0.27,  8.4692,  
6.26,  0.20,  8.6401,  
3.59,  0.14,  8.7813,  
1.56,  0.09,  8.9370,  
1.23,  0.08,  9.0781,  
3.93,  0.14,  9.2500,  
6.63,  0.22,  9.3901,  
9.50,  0.29,  9.5620,  
12.22,  0.36,  9.7031,  
15.00,  0.43,  9.8750,  
16.80,  0.50,  10.0151,  
13.81,  0.43,  10.1870,  
11.22,  0.37,  10.3442,  
8.49,  0.31,  10.5000,  
6.45,  0.26,  10.6401,  
3.65,  0.20,  10.7974,  
0.88,  0.14,  10.9370,  
1.23,  0.14,  11.0942,  
3.95,  0.20,  11.2344,  
6.70,  0.26,  11.3901,  
9.49,  0.33,  11.5313,  
11.52,  0.38,  11.6870,  
