WORKSHOP 3 EXPORTED DATA: [C:\Workshop 96\Data Manager\Sharan Chandran\Ti6242\Ti6242-4-Old-FS\Day 1 - 11222.W02 - 1]
*************************************************************************************************
Source of data: ToolKit
WS3 File Version: 1.04
Number of bytes in subfile: 1761597
Total number of data points: 146768
Test date: 11/12/2017
Test time: 17:15:37
Player Step: 1
Step Capture No: 1
Actuator: 2
*************************************************************************************************
Actuator: 1  Channel:0,  Actuator: 1  Channel:1,  Actuator: 1  Channel:2,  
Load Current (kN),  Stroke Current (mm),  TIME (S),  
13.41,  0.44,  26.0000,  
10.69,  0.38,  26.1410,  
8.64,  0.33,  26.2970,  
5.87,  0.27,  26.4370,  
3.08,  0.20,  26.6090,  
0.33,  0.14,  26.7500,  
2.42,  0.18,  26.9220,  
5.16,  0.24,  27.0620,  
7.91,  0.31,  27.2340,  
10.68,  0.37,  27.3750,  
13.46,  0.44,  27.5470,  
16.22,  0.51,  27.6870,  
15.48,  0.49,  27.8590,  
13.44,  0.44,  28.0000,  
10.69,  0.38,  28.1560,  
7.93,  0.31,  28.2970,  
5.16,  0.25,  28.4690,  
2.40,  0.19,  28.6090,  
0.33,  0.14,  28.7660,  
2.41,  0.19,  28.9060,  
5.16,  0.24,  29.0620,  
7.91,  0.31,  29.2030,  
10.00,  0.36,  29.3590,  
12.76,  0.42,  29.5000,  
15.53,  0.49,  29.6720,  
16.21,  0.51,  29.8120,  
13.43,  0.44,  29.9840,  
10.70,  0.38,  30.1250,  
7.94,  0.31,  30.2970,  
5.16,  0.25,  30.4370,  
2.38,  0.19,  30.6090,  
0.33,  0.14,  30.7500,  
3.09,  0.20,  30.9220,  
5.85,  0.26,  31.0940,  
8.61,  0.32,  31.2340,  
10.69,  0.37,  31.3750,  
13.45,  0.44,  31.5310,  
16.22,  0.51,  31.6720,  
16.21,  0.51,  31.8280,  
13.42,  0.44,  31.9690,  
10.69,  0.38,  32.1250,  
8.64,  0.33,  32.2660,  
5.85,  0.26,  32.4220,  
3.07,  0.20,  32.5620,  
0.32,  0.14,  32.7340,  
2.39,  0.19,  32.8750,  
5.16,  0.24,  33.0470,  
7.91,  0.31,  33.1870,  
10.00,  0.36,  33.3440,  
12.78,  0.42,  33.4840,  
15.53,  0.49,  33.6410,  
16.94,  0.52,  33.7810,  
14.08,  0.46,  33.9370,  
11.40,  0.39,  34.0780,  
8.63,  0.33,  34.2500,  
5.85,  0.26,  34.3910,  
3.07,  0.20,  34.5620,  
0.32,  0.14,  34.7030,  
1.75,  0.17,  34.8590,  
4.48,  0.23,  35.0000,  
7.24,  0.29,  35.1560,  
9.31,  0.36,  35.2970,  
12.08,  0.41,  35.4530,  
14.85,  0.47,  35.5940,  
16.94,  0.52,  35.7660,  
14.14,  0.46,  35.9060,  
11.37,  0.39,  36.0620,  
9.33,  0.34,  36.2030,  
6.54,  0.28,  36.3590,  
3.76,  0.22,  36.5000,  
1.69,  0.17,  36.6560,  
1.05,  0.16,  36.7970,  
3.80,  0.21,  36.9690,  
6.54,  0.28,  37.1090,  
9.31,  0.34,  37.2660,  
11.38,  0.39,  37.4060,  
14.15,  0.46,  37.5620,  
16.91,  0.52,  37.7030,  
14.77,  0.47,  37.8750,  
12.10,  0.41,  38.0160,  
9.32,  0.34,  38.1870,  
6.54,  0.28,  38.3280,  
3.74,  0.22,  38.5000,  
1.69,  0.17,  38.6410,  
1.75,  0.17,  38.8120,  
3.79,  0.22,  38.9530,  
6.55,  0.28,  39.1090,  
9.30,  0.34,  39.2500,  
11.38,  0.39,  39.4060,  
14.15,  0.45,  39.5470,  
16.91,  0.52,  39.7030,  
14.78,  0.47,  39.8440,  
12.78,  0.43,  40.0000,  
9.99,  0.36,  40.1410,  
7.23,  0.30,  40.2970,  
5.15,  0.23,  40.4370,  
1.68,  0.17,  40.6090,  
0.34,  0.14,  40.7500,  
3.07,  0.20,  40.9060,  
5.84,  0.26,  41.0470,  
8.61,  0.32,  41.2030,  
10.69,  0.37,  41.3440,  
13.46,  0.44,  41.5000,  
16.22,  0.51,  41.6410,  
15.47,  0.49,  41.8120,  
12.76,  0.43,  41.9530,  
10.68,  0.38,  42.1090,  
7.92,  0.31,  42.2500,  
5.16,  0.25,  42.4060,  
3.05,  0.20,  42.5470,  
0.31,  0.14,  42.7030,  
2.41,  0.19,  42.8440,  
5.17,  0.24,  43.0160,  
7.91,  0.31,  43.1560,  
10.01,  0.36,  43.3120,  
12.76,  0.42,  43.4530,  
15.52,  0.49,  43.6090,  
16.21,  0.51,  43.7500,  
