WORKSHOP 3 EXPORTED DATA: [C:\Workshop 96\Data Manager\Sharan Chandran\Ti6242\Ti6242-4-Old-FS\Day 2 - 5800.W02 - 1]
*************************************************************************************************
Source of data: ToolKit
WS3 File Version: 1.04
Number of bytes in subfile: 715209
Total number of data points: 59569
Test date: 08/01/2018
Test time: 17:26:49
Player Step: 1
Step Capture No: 1
Actuator: 2
*************************************************************************************************
Actuator: 1  Channel:0,  Actuator: 1  Channel:1,  Actuator: 1  Channel:2,  
Load Current (kN),  Stroke Current (mm),  TIME (S),  
9.89,  0.33,  0.0000,  
12.00,  0.38,  0.1410,  
14.74,  0.45,  0.2970,  
17.03,  0.50,  0.4370,  
14.90,  0.45,  0.5780,  
12.19,  0.39,  0.7190,  
10.10,  0.34,  0.8750,  
7.32,  0.28,  1.0160,  
3.84,  0.20,  1.2030,  
1.06,  0.13,  1.3590,  
0.90,  0.13,  1.5000,  
3.64,  0.19,  1.6410,  
6.41,  0.25,  1.7970,  
8.52,  0.30,  1.9370,  
11.28,  0.36,  2.1090,  
14.05,  0.43,  2.2500,  
16.81,  0.50,  2.4060,  
14.90,  0.45,  2.5470,  
12.20,  0.39,  2.7190,  
10.09,  0.34,  2.8590,  
7.30,  0.27,  3.0160,  
4.53,  0.21,  3.1560,  
1.76,  0.15,  3.3120,  
0.20,  0.12,  3.4530,  
2.99,  0.17,  3.6090,  
5.76,  0.24,  3.7500,  
8.52,  0.30,  3.9060,  
10.58,  0.35,  4.0470,  
13.36,  0.41,  4.2030,  
16.13,  0.48,  4.3440,  
15.56,  0.47,  4.5160,  
12.90,  0.40,  4.6560,  
10.78,  0.36,  4.8120,  
8.03,  0.29,  4.9530,  
5.25,  0.23,  5.1090,  
3.12,  0.18,  5.2500,  
0.20,  0.11,  5.4220,  
2.30,  0.16,  5.5620,  
5.06,  0.22,  5.7340,  
7.81,  0.28,  5.8750,  
10.58,  0.35,  6.0470,  
13.37,  0.41,  6.1870,  
16.13,  0.48,  6.3440,  
16.33,  0.48,  6.4840,  
13.56,  0.42,  6.6410,  
10.78,  0.36,  6.7810,  
8.02,  0.29,  6.9530,  
5.23,  0.23,  7.0940,  
3.15,  0.18,  7.2500,  
0.37,  0.12,  7.3910,  
2.32,  0.16,  7.5470,  
5.07,  0.22,  7.6870,  
7.82,  0.28,  7.8590,  
9.89,  0.33,  8.0000,  
13.38,  0.41,  8.1720,  
15.44,  0.46,  8.3120,  
16.34,  0.48,  8.4840,  
13.56,  0.42,  8.6250,  
10.77,  0.35,  8.7810,  
8.01,  0.29,  8.9220,  
5.92,  0.24,  9.0780,  
3.12,  0.18,  9.2190,  
0.38,  0.12,  9.3750,  
1.64,  0.14,  9.5160,  
5.05,  0.22,  9.6870,  
7.10,  0.27,  9.8280,  
9.91,  0.33,  9.9840,  
12.70,  0.40,  10.1250,  
15.42,  0.46,  10.2810,  
17.03,  0.50,  10.4220,  
14.21,  0.44,  10.5940,  
11.46,  0.37,  10.7340,  
8.73,  0.31,  10.8910,  
6.60,  0.26,  11.0310,  
3.82,  0.19,  11.1870,  
1.07,  0.13,  11.3280,  
1.61,  0.14,  11.4840,  
3.63,  0.19,  11.6250,  
6.41,  0.25,  11.7810,  
9.21,  0.31,  11.9220,  
11.98,  0.38,  12.0940,  
14.76,  0.45,  12.2340,  
16.81,  0.49,  12.3910,  
14.88,  0.45,  12.5310,  
12.19,  0.39,  12.6870,  
9.42,  0.32,  12.8280,  
7.30,  0.27,  12.9840,  
4.54,  0.21,  13.1250,  
1.75,  0.15,  13.2970,  
0.91,  0.13,  13.4370,  
3.63,  0.19,  13.5940,  
5.75,  0.23,  13.7340,  
8.53,  0.30,  13.8910,  
11.28,  0.36,  14.0310,  
14.06,  0.43,  14.2030,  
16.82,  0.49,  14.3440,  
14.90,  0.45,  14.5160,  
12.90,  0.40,  14.6560,  
9.41,  0.32,  14.8280,  
6.60,  0.26,  14.9840,  
3.84,  0.20,  15.1410,  
1.71,  0.15,  15.2810,  
0.91,  0.13,  15.4220,  
2.97,  0.17,  15.5620,  
5.73,  0.24,  15.7190,  
8.52,  0.30,  15.8590,  
10.58,  0.35,  16.0160,  
13.36,  0.41,  16.1560,  
16.14,  0.48,  16.3120,  
15.59,  0.47,  16.4530,  
13.55,  0.42,  16.6090,  
10.77,  0.35,  16.7500,  
8.03,  0.29,  16.9060,  
5.91,  0.24,  17.0470,  
2.44,  0.16,  17.2190,  
0.38,  0.12,  17.3590,  
2.34,  0.16,  17.5160,  
5.06,  0.22,  17.6560,  
7.82,  0.28,  17.8120,  
9.90,  0.33,  17.9530,  
12.70,  0.40,  18.1090,  
15.42,  0.46,  18.2500,  
17.03,  0.50,  18.4060,  
14.22,  0.44,  18.5470,  
11.49,  0.37,  18.7030,  
8.73,  0.31,  18.8440,  
5.91,  0.24,  19.0160,  
3.84,  0.20,  19.1560,  
1.06,  0.13,  19.3120,  
1.64,  0.14,  19.4530,  
4.34,  0.20,  19.6090,  
6.43,  0.25,  19.7500,  
9.24,  0.32,  19.9060,  
12.00,  0.38,  20.0470,  
14.73,  0.44,  20.2190,  
17.03,  0.50,  20.3590,  
14.89,  0.45,  20.5160,  
12.19,  0.39,  20.6560,  
9.41,  0.32,  20.8120,  
7.30,  0.27,  20.9530,  
4.53,  0.21,  21.1090,  
1.76,  0.15,  21.2500,  
0.93,  0.13,  21.4220,  
3.64,  0.19,  21.5620,  
6.44,  0.25,  21.7340,  
9.21,  0.32,  21.8750,  
