WORKSHOP 3 EXPORTED DATA: [C:\Workshop 96\Data Manager\Sharan\Ti6242\Ti6242-2-Old-FS\Day 5 - 7 [Fractured].W02 - 3]
*************************************************************************************************
Source of data: ToolKit
WS3 File Version: 1.04
Number of bytes in subfile: 88113
Total number of data points: 7311
Test date: 27/11/2017
Test time: 11:25:22
Player Step: 1
Step Capture No: 1
Actuator: 2
*************************************************************************************************
Actuator: 1  Channel:0	 Actuator: 1  Channel:1	 Actuator: 1  Channel:2	 
Load Current (kN)	 Stroke Current (mm)	 TIME (S)	 
17.75	 0.47	 25.7180	 
17.75	 0.47	 25.8590	 
17.75	 0.47	 26.0310	 
17.75	 0.47	 26.1720	 
17.75	 0.47	 26.3430	 
17.75	 0.48	 26.4840	 
17.75	 0.48	 26.6400	 
17.75	 0.47	 26.7810	 
17.75	 0.47	 26.9370	 
17.75	 0.48	 27.0780	 
17.75	 0.47	 27.2500	 
17.75	 0.47	 27.3900	 
17.75	 0.47	 27.5470	 
17.75	 0.47	 27.6870	 
17.75	 0.48	 27.8430	 
17.75	 0.47	 27.9840	 
17.75	 0.47	 28.1400	 
17.75	 0.47	 28.2810	 
17.75	 0.47	 28.4370	 
17.75	 0.47	 28.5780	 
17.75	 0.47	 28.7340	 
17.75	 0.47	 28.8750	 
17.74	 0.48	 29.0470	 
17.75	 0.48	 29.1870	 
17.75	 0.48	 29.3430	 
17.75	 0.47	 29.4840	 
17.74	 0.47	 29.6400	 
17.74	 0.48	 29.7810	 
17.75	 0.47	 29.9530	 
17.74	 0.47	 30.0930	 
17.74	 0.47	 30.2650	 
17.74	 0.48	 30.4060	 
17.74	 0.47	 30.5780	 
17.74	 0.47	 30.7180	 
17.74	 0.47	 30.8750	 
17.74	 0.47	 31.0150	 
17.74	 0.47	 31.1720	 
17.74	 0.47	 31.3120	 
17.74	 0.47	 31.4680	 
17.74	 0.47	 31.6090	 
17.74	 0.47	 31.7650	 
17.74	 0.47	 31.9060	 
17.74	 0.47	 32.0620	 
17.74	 0.47	 32.2030	 
17.74	 0.47	 32.3590	 
17.74	 0.48	 32.5000	 
17.74	 0.47	 32.6560	 
17.74	 0.47	 32.7970	 
17.74	 0.47	 32.9530	 
17.74	 0.47	 33.0930	 
17.75	 0.47	 33.2650	 
17.75	 0.48	 33.4060	 
17.74	 0.47	 33.5780	 
17.74	 0.47	 33.7180	 
17.74	 0.47	 33.8900	 
17.74	 0.48	 34.0310	 
17.75	 0.48	 34.2030	 
17.75	 0.48	 34.3430	 
17.75	 0.47	 34.5150	 
17.75	 0.47	 34.6560	 
17.74	 0.48	 34.8120	 
17.74	 0.47	 34.9530	 
17.74	 0.47	 35.1090	 
17.74	 0.48	 35.2500	 
17.74	 0.47	 35.4220	 
17.74	 0.47	 35.5620	 
17.74	 0.47	 35.7180	 
17.74	 0.47	 35.8590	 
17.74	 0.47	 36.0150	 
17.74	 0.48	 36.1560	 
17.74	 0.47	 36.3280	 
17.74	 0.47	 36.4680	 
17.74	 0.48	 36.6250	 
17.74	 0.48	 36.7650	 
17.74	 0.47	 36.9220	 
17.74	 0.47	 37.0620	 
17.74	 0.47	 37.2180	 
