 ,Area,StdDev,Min,Max,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
156,66.351,0,255,255,15.389,5.490,16.178,0.119,100,2.803,0.357,0.446
157,3.678,0,255,255,2.757,1.699,52.386,0.292,100,1.623,0.616,0.567
158,13.924,0,255,255,4.513,3.929,63.405,0.509,100,1.149,0.871,0.766
159,8.644,0,255,255,5.542,1.986,127.538,0.194,100,2.791,0.358,0.452
160,7.028,0,255,255,6.282,1.424,64.316,0.415,100,4.410,0.227,0.832
161,13.412,0,255,255,7.860,2.173,165.233,0.230,100,3.618,0.276,0.659
162,7.987,0,255,255,3.721,2.733,16.347,0.732,100,1.361,0.735,0.952
163,8.709,0,255,255,4.480,2.475,166.796,0.543,100,1.810,0.553,0.895
164,3.809,0,255,255,3.833,1.265,156.543,0.346,100,3.029,0.330,0.682
165,16.144,0,255,255,11.514,1.785,0.433,0.261,100,6.449,0.155,0.883
166,1.340,0,255,255,2.492,0.685,0.006,0.505,100,3.640,0.275,0.915
