WORKSHOP 3 EXPORTED DATA: [C:\Workshop 96\Data Manager\Sharan Chandran\Ti6242\Ti6242-3-Old-FS\Day 1 - 10881.W02 - 1]
*************************************************************************************************
Source of data: ToolKit
WS3 File Version: 1.04
Number of bytes in subfile: 1706901
Total number of data points: 142210
Test date: 29/11/2017
Test time: 17:24:03
Player Step: 1
Step Capture No: 1
Actuator: 2
*************************************************************************************************
Actuator: 1  Channel:0,  Actuator: 1  Channel:1,  Actuator: 1  Channel:2,  
Load Current (kN),  Stroke Current (mm),  TIME (S),  
-0.07,  -0.01,  0.0000,  
-0.07,  -0.01,  0.1401,  
-0.08,  -0.01,  0.3120,  
-0.08,  -0.01,  0.4531,  
-0.08,  -0.01,  0.6094,  
-0.08,  -0.01,  0.7500,  
1.29,  0.02,  0.9063,  
4.18,  0.08,  1.0474,  
7.20,  0.14,  1.2192,  
9.49,  0.20,  1.3594,  
12.55,  0.27,  1.5313,  
15.62,  0.35,  1.6724,  
18.68,  0.43,  1.8442,  
16.15,  0.37,  1.9844,  
13.21,  0.30,  2.1401,  
10.93,  0.25,  2.2813,  
7.87,  0.18,  2.4370,  
4.81,  0.11,  2.5781,  
1.75,  0.05,  2.7500,  
1.35,  0.04,  2.8901,  
4.25,  0.09,  3.0620,  
7.29,  0.16,  3.2031,  
10.35,  0.23,  3.3750,  
12.65,  0.28,  3.5151,  
16.44,  0.38,  3.6870,  
18.73,  0.43,  3.8281,  
16.20,  0.38,  4.0000,  
13.21,  0.31,  4.1401,  
10.16,  0.23,  4.2974,  
7.10,  0.16,  4.4370,  
4.80,  0.11,  4.5942,  
1.74,  0.05,  4.7344,  
1.35,  0.04,  4.9063,  
4.28,  0.10,  5.0474,  
7.33,  0.16,  5.2031,  
9.61,  0.22,  5.3442,  
12.66,  0.29,  5.5000,  
15.72,  0.36,  5.6401,  
18.76,  0.44,  5.8120,  
16.23,  0.38,  5.9531,  
13.97,  0.32,  6.1094,  
10.92,  0.25,  6.2500,  
7.86,  0.18,  6.4063,  
4.81,  0.11,  6.5474,  
2.52,  0.07,  6.7031,  
0.54,  0.02,  6.8442,  
3.54,  0.08,  7.0151,  
6.56,  0.15,  7.1563,  
9.61,  0.22,  7.3120,  
12.03,  0.28,  7.4531,  
14.99,  0.35,  7.6094,  
18.18,  0.44,  7.7500,  
17.65,  0.43,  7.9063,  
14.67,  0.37,  8.0474,  
11.68,  0.31,  8.2192,  
8.64,  0.24,  8.3594,  
5.57,  0.17,  8.5313,  
2.51,  0.11,  8.6724,  
0.56,  0.07,  8.8442,  
3.57,  0.13,  8.9844,  
5.85,  0.18,  9.1401,  
8.89,  0.24,  9.2813,  
11.93,  0.31,  9.4370,  
15.07,  0.38,  9.5781,  
18.14,  0.45,  9.7500,  
17.70,  0.44,  9.8901,  
13.99,  0.36,  10.0620,  
11.70,  0.31,  10.2031,  
8.64,  0.24,  10.3594,  
5.56,  0.18,  10.5000,  
2.50,  0.12,  10.6724,  
0.57,  0.08,  10.8120,  
2.80,  0.12,  10.9692,  
5.85,  0.18,  11.1094,  
8.95,  0.25,  11.2651,  
11.23,  0.30,  11.4063,  
15.08,  0.38,  11.5781,  
17.30,  0.43,  11.7192,  
17.71,  0.44,  11.8750,  
14.74,  0.38,  12.0151,  
11.71,  0.31,  12.1724,  
9.41,  0.26,  12.3120,  
6.34,  0.20,  12.4692,  
3.28,  0.13,  12.6094,  
0.26,  0.07,  12.7813,  
2.09,  0.12,  12.9224,  
5.10,  0.17,  13.0781,  
8.14,  0.23,  13.2192,  
11.20,  0.30,  13.3750,  
13.49,  0.35,  13.5151,  
17.31,  0.43,  13.6870,  
18.53,  0.46,  13.8281,  
15.52,  0.39,  14.0000,  
12.45,  0.33,  14.1401,  
9.37,  0.26,  14.3120,  
6.32,  0.20,  14.4531,  
3.28,  0.13,  14.6094,  
1.01,  0.09,  14.7500,  
2.09,  0.11,  14.9063,  
5.11,  0.17,  15.0474,  
8.16,  0.23,  15.2192,  
11.21,  0.30,  15.3594,  
14.27,  0.36,  15.5313,  
17.33,  0.43,  15.6724,  
17.73,  0.44,  15.8442,  
15.53,  0.39,  15.9844,  
12.46,  0.33,  16.1401,  
9.40,  0.26,  16.2813,  
6.35,  0.20,  16.4370,  
4.07,  0.15,  16.5781,  
1.00,  0.09,  16.7500,  
2.07,  0.11,  16.8901,  
5.10,  0.17,  17.0620,  
8.16,  0.23,  17.2031,  
11.22,  0.30,  17.3750,  
14.27,  0.36,  17.5151,  
17.33,  0.43,  17.6870,  
17.73,  0.44,  17.8281,  
14.78,  0.38,  18.0000,  
12.48,  0.33,  18.1401,  
9.42,  0.26,  18.2974,  
6.36,  0.20,  18.4370,  
3.30,  0.13,  18.5942,  
1.00,  0.09,  18.7344,  
2.11,  0.11,  18.8901,  
5.11,  0.17,  19.0313,  
8.16,  0.23,  19.1870,  
10.45,  0.28,  19.3281,  
13.51,  0.35,  19.5000,  
16.57,  0.42,  19.6401,  
18.56,  0.46,  19.8120,  
15.54,  0.39,  19.9531,  
12.47,  0.33,  20.1250,  
9.42,  0.26,  20.2651,  
6.36,  0.20,  20.4370,  
3.28,  0.13,  20.5781,  
0.27,  0.07,  20.7500,  
2.82,  0.12,  20.9224,  
5.88,  0.18,  21.0781,  
8.93,  0.25,  21.2192,  
11.22,  0.30,  21.3594,  
14.28,  0.36,  21.5000,  
17.34,  0.43,  21.6563,  
18.55,  0.46,  21.7974,  
15.55,  0.39,  21.9692,  
12.50,  0.33,  22.1094,  
9.44,  0.26,  22.2651,  
6.38,  0.20,  22.4063,  
4.06,  0.15,  22.5620,  
1.01,  0.09,  22.7031,  
2.11,  0.11,  22.8750,  
5.11,  0.17,  23.0151,  
8.17,  0.23,  23.1870,  
11.22,  0.30,  23.3281,  
14.28,  0.36,  23.5000,  
16.57,  0.41,  23.6401,  
17.75,  0.44,  23.8120,  
15.55,  0.40,  23.9531,  
12.50,  0.33,  24.1250,  
9.44,  0.26,  24.2651,  
6.37,  0.20,  24.4224,  
3.31,  0.13,  24.5620,  
1.02,  0.09,  24.7192,  
2.10,  0.11,  24.8594,  
5.12,  0.17,  25.0313,  
8.17,  0.23,  25.1724,  
11.22,  0.30,  25.3281,  
13.52,  0.35,  25.4692,  
16.58,  0.41,  25.6250,  
18.56,  0.46,  25.7651,  
15.56,  0.39,  25.9370,  
12.51,  0.33,  26.0781,  
9.44,  0.26,  26.2500,  
7.13,  0.20,  26.3901,  
3.31,  0.13,  26.5620,  
1.02,  0.09,  26.7031,  
2.09,  0.11,  26.8750,  
5.12,  0.17,  27.0151,  
8.17,  0.23,  27.1870,  
12.00,  0.31,  27.3594,  
14.28,  0.36,  27.5000,  
17.34,  0.43,  27.6401,  
17.77,  0.44,  27.7974,  
15.55,  0.39,  27.9370,  
12.50,  0.33,  28.0942,  
9.44,  0.26,  28.2344,  
6.38,  0.20,  28.3901,  
4.04,  0.15,  28.5313,  
1.01,  0.09,  28.6870,  
2.09,  0.11,  28.8281,  
5.11,  0.17,  29.0000,  
7.39,  0.23,  29.1401,  
11.24,  0.30,  29.3120,  
13.53,  0.35,  29.4531,  
16.58,  0.41,  29.6094,  
18.57,  0.46,  29.7500,  
15.55,  0.40,  29.9224,  
12.48,  0.33,  30.0620,  
10.19,  0.28,  30.2192,  
7.14,  0.21,  30.3594,  
4.06,  0.15,  30.5313,  
1.00,  0.09,  30.6724,  
2.08,  0.11,  30.8442,  
5.12,  0.17,  30.9844,  
8.16,  0.23,  31.1563,  
11.23,  0.30,  31.2974,  
13.52,  0.35,  31.4531,  
16.58,  0.41,  31.5942,  
18.55,  0.46,  31.7500,  
15.56,  0.40,  31.8901,  
12.46,  0.33,  32.0620,  
10.21,  0.28,  32.2031,  
7.15,  0.20,  32.3750,  
4.07,  0.15,  32.5151,  
1.00,  0.09,  32.6870,  
2.08,  0.11,  32.8281,  
5.11,  0.17,  33.0000,  
8.17,  0.23,  33.1401,  
11.25,  0.30,  33.3120,  
14.30,  0.36,  33.4531,  
16.59,  0.42,  33.6094,  
18.57,  0.46,  33.7500,  
15.56,  0.40,  33.9224,  
12.49,  0.33,  34.0620,  
9.45,  0.26,  34.2192,  
7.10,  0.21,  34.3594,  
4.06,  0.15,  34.5151,  
1.00,  0.09,  34.6563,  
2.08,  0.11,  34.8120,  
4.35,  0.15,  34.9531,  
8.17,  0.23,  35.1250,  
10.46,  0.28,  35.2651,  
13.52,  0.35,  35.4370,  
16.58,  0.42,  35.5781,  
18.56,  0.46,  35.7500,  
15.56,  0.40,  35.9224,  
12.47,  0.33,  36.0620,  
9.41,  0.26,  36.2031,  
6.39,  0.20,  36.3750,  
3.31,  0.13,  36.5151,  
1.00,  0.09,  36.6724,  
2.07,  0.11,  36.8120,  
5.12,  0.17,  36.9692,  
7.43,  0.22,  37.1094,  
11.23,  0.30,  37.2813,  
13.52,  0.35,  37.4224,  
16.59,  0.42,  37.5781,  
18.57,  0.46,  37.7192,  
15.57,  0.40,  37.8750,  
13.27,  0.35,  38.0151,  
10.22,  0.28,  38.1870,  
7.11,  0.21,  38.3281,  
4.04,  0.15,  38.5000,  
0.98,  0.09,  38.6401,  
2.09,  0.11,  38.8120,  
5.11,  0.17,  38.9531,  
8.17,  0.23,  39.1250,  
11.22,  0.30,  39.2651,  
14.29,  0.36,  39.4370,  
16.58,  0.42,  39.5781,  
18.54,  0.46,  39.7344,  
15.56,  0.40,  39.8750,  
12.51,  0.33,  40.0313,  
9.44,  0.26,  40.1870,  
7.14,  0.21,  40.3281,  
4.08,  0.15,  40.4692,  
1.01,  0.09,  40.6401,  
2.06,  0.11,  40.7813,  
4.34,  0.15,  40.9370,  
7.40,  0.21,  41.0781,  
10.47,  0.28,  41.2500,  
13.53,  0.35,  41.3901,  
16.58,  0.42,  41.5620,  
18.55,  0.46,  41.7031,  
15.58,  0.40,  41.8750,  
12.51,  0.33,  42.0151,  
9.43,  0.26,  42.1870,  
7.15,  0.21,  42.3281,  
4.06,  0.15,  42.4844,  
1.00,  0.09,  42.6250,  
2.06,  0.11,  42.7974,  
5.11,  0.17,  42.9370,  
7.39,  0.21,  43.0942,  
10.46,  0.28,  43.2344,  
13.52,  0.35,  43.4063,  
16.59,  0.42,  43.5474,  
18.56,  0.46,  43.7031,  
16.33,  0.41,  43.8442,  
13.28,  0.35,  44.0000,  
10.20,  0.28,  44.1401,  
7.13,  0.21,  44.3120,  
4.08,  0.15,  44.4531,  
1.02,  0.09,  44.6250,  
2.07,  0.11,  44.7651,  
5.12,  0.17,  44.9370,  
7.40,  0.21,  45.0781,  
10.47,  0.28,  45.2344,  
13.53,  0.35,  45.3750,  
16.60,  0.42,  45.5313,  
18.86,  0.47,  45.6724,  
16.32,  0.39,  45.8442,  
13.27,  0.35,  45.9844,  
10.22,  0.28,  46.1563,  
7.15,  0.21,  46.2974,  
4.09,  0.15,  46.4692,  
1.01,  0.09,  46.6401,  
2.06,  0.11,  46.7813,  
5.10,  0.17,  46.9224,  
7.42,  0.21,  47.0781,  
10.46,  0.28,  47.2192,  
13.52,  0.35,  47.3750,  
16.58,  0.42,  47.5151,  
18.57,  0.46,  47.6870,  
16.33,  0.41,  47.8281,  
12.50,  0.33,  48.0000,  
10.19,  0.28,  48.1401,  
7.17,  0.21,  48.3120,  
4.09,  0.15,  48.4531,  
1.00,  0.09,  48.6250,  
2.07,  0.12,  48.7974,  
5.11,  0.17,  48.9370,  
8.17,  0.23,  49.0781,  
10.46,  0.28,  49.2192,  
13.53,  0.35,  49.3594,  
16.59,  0.42,  49.5313,  
18.55,  0.46,  49.6724,  
16.33,  0.41,  49.8281,  
13.29,  0.35,  49.9692,  
10.20,  0.28,  50.1250,  
7.15,  0.21,  50.2651,  
4.08,  0.15,  50.4370,  
1.74,  0.10,  50.5781,  
2.08,  0.11,  50.7500,  
4.34,  0.15,  50.8901,  
7.39,  0.21,  51.0474,  
10.46,  0.28,  51.1870,  
13.52,  0.35,  51.3442,  
15.81,  0.40,  51.4844,  
18.86,  0.47,  51.6401,  
16.33,  0.41,  51.7813,  
14.03,  0.36,  51.9370,  
10.98,  0.30,  52.0781,  
7.92,  0.23,  52.2344,  
4.87,  0.17,  52.3750,  
2.48,  0.12,  52.5313,  
0.57,  0.08,  52.6724,  
3.58,  0.14,  52.8442,  
6.62,  0.20,  52.9844,  
9.68,  0.26,  53.1401,  
11.99,  0.31,  53.2813,  
15.06,  0.38,  53.4370,  
18.14,  0.45,  53.5781,  
17.08,  0.43,  53.7344,  
14.81,  0.38,  53.8750,  
11.72,  0.31,  54.0313,  
8.66,  0.25,  54.1724,  
5.59,  0.18,  54.3442,  
3.29,  0.13,  54.4844,  
0.28,  0.07,  54.6401,  
2.81,  0.12,  54.7813,  
5.86,  0.18,  54.9370,  
8.15,  0.23,  55.0781,  
11.99,  0.31,  55.2500,  
14.31,  0.36,  55.3901,  
17.36,  0.43,  55.5620,  
17.77,  0.44,  55.7031,  
14.81,  0.38,  55.8750,  
11.73,  0.31,  56.0151,  
8.65,  0.24,  56.1870,  
5.63,  0.18,  56.3281,  
2.57,  0.12,  56.5000,  
0.60,  0.08,  56.6401,  
2.79,  0.12,  56.7974,  
5.89,  0.18,  56.9370,  
8.94,  0.25,  57.0942,  
11.24,  0.31,  57.2344,  
14.30,  0.36,  57.3901,  
17.39,  0.43,  57.5313,  
17.76,  0.44,  57.6870,  
15.58,  0.40,  57.8281,  
11.75,  0.31,  58.0000,  
9.44,  0.26,  58.1401,  
6.38,  0.20,  58.3120,  
3.28,  0.13,  58.4531,  
0.27,  0.07,  58.6250,  
2.80,  0.12,  58.7651,  
5.87,  0.18,  58.9370,  
8.92,  0.25,  59.0781,  
11.99,  0.31,  59.2344,  
14.31,  0.37,  59.3750,  
17.37,  0.43,  59.5313,  
17.78,  0.44,  59.6724,  
14.83,  0.38,  59.8442,  
12.50,  0.31,  59.9844,  
8.68,  0.25,  60.1563,  
6.35,  0.20,  60.2974,  
3.32,  0.12,  60.4692,  
0.28,  0.07,  60.6094,  
2.80,  0.12,  60.7651,  
5.89,  0.18,  60.9063,  
8.18,  0.23,  61.0620,  
11.24,  0.30,  61.2031,  
14.33,  0.37,  61.3750,  
17.36,  0.43,  61.5151,  
17.80,  0.44,  61.6870,  
14.82,  0.38,  61.8281,  
11.74,  0.31,  62.0000,  
8.67,  0.25,  62.1401,  
5.57,  0.18,  62.3120,  
3.31,  0.13,  62.4531,  
0.57,  0.08,  62.6250,  
2.80,  0.12,  62.7651,  
5.86,  0.18,  62.9224,  
8.92,  0.25,  63.0620,  
11.99,  0.31,  63.2192,  
14.28,  0.36,  63.3594,  
17.36,  0.43,  63.5313,  
