WORKSHOP 3 EXPORTED DATA: [C:\Workshop 96\Data Manager\Sharan Chandran\Ti6242\Ti6242-3-Old-FS\Day 2 - 11351.W02 - 2]
*************************************************************************************************
Source of data: ToolKit
WS3 File Version: 1.04
Number of bytes in subfile: 1781181
Total number of data points: 148400
Test date: 08/12/2017
Test time: 17:04:18
Player Step: 1
Step Capture No: 1
Actuator: 2
*************************************************************************************************
Actuator: 1  Channel:0,  Actuator: 1  Channel:1,  Actuator: 1  Channel:2,  
Load Current (kN),  Stroke Current (mm),  TIME (S),  
16.60,  0.44,  25.9690,  
13.56,  0.37,  26.1100,  
10.38,  0.31,  26.2820,  
7.39,  0.24,  26.4220,  
4.32,  0.18,  26.5790,  
2.05,  0.13,  26.7190,  
1.23,  0.12,  26.8750,  
4.09,  0.17,  27.0160,  
7.16,  0.24,  27.1880,  
10.26,  0.30,  27.3290,  
13.28,  0.37,  27.5000,  
15.65,  0.42,  27.6410,  
18.67,  0.48,  27.7970,  
16.59,  0.44,  27.9380,  
13.56,  0.37,  28.1100,  
10.47,  0.31,  28.2500,  
8.14,  0.26,  28.4070,  
5.05,  0.20,  28.5470,  
1.98,  0.13,  28.7040,  
1.22,  0.12,  28.8440,  
3.33,  0.16,  29.0000,  
6.39,  0.22,  29.1410,  
9.48,  0.28,  29.2970,  
12.59,  0.35,  29.4380,  
14.88,  0.40,  29.5940,  
17.91,  0.47,  29.7350,  
17.27,  0.45,  29.9070,  
14.29,  0.39,  30.0470,  
11.21,  0.32,  30.2040,  
8.95,  0.28,  30.3440,  
5.80,  0.21,  30.5000,  
2.79,  0.15,  30.6410,  
0.41,  0.10,  30.7970,  
2.62,  0.14,  30.9380,  
5.64,  0.20,  31.1100,  
8.68,  0.27,  31.2500,  
11.78,  0.33,  31.4220,  
14.90,  0.40,  31.5630,  
17.89,  0.47,  31.7350,  
17.25,  0.45,  31.8750,  
14.26,  0.39,  32.0470,  
11.23,  0.33,  32.1880,  
8.96,  0.28,  32.3440,  
5.80,  0.21,  32.4850,  
2.74,  0.15,  32.6570,  
0.35,  0.10,  32.7970,  
3.36,  0.16,  32.9540,  
5.64,  0.20,  33.0940,  
8.69,  0.27,  33.2500,  
11.84,  0.33,  33.3910,  
14.05,  0.38,  33.5470,  
17.21,  0.45,  33.6880,  
18.03,  0.47,  33.8440,  
15.06,  0.41,  33.9850,  
12.00,  0.34,  34.1570,  
8.91,  0.28,  34.3290,  
5.83,  0.21,  34.4850,  
2.78,  0.15,  34.6250,  
0.43,  0.10,  34.7660,  
2.60,  0.15,  34.9070,  
4.88,  0.19,  35.0470,  
7.93,  0.25,  35.1880,  
11.00,  0.32,  35.3600,  
18.00,  0.47,  35.8130,  
15.85,  0.42,  35.9690,  
12.73,  0.36,  36.1100,  
10.45,  0.31,  36.2500,  
7.37,  0.24,  36.3910,  
4.22,  0.18,  36.5320,  
1.98,  0.13,  36.6720,  
1.17,  0.12,  36.8290,  
4.12,  0.17,  36.9690,  
6.42,  0.22,  37.1250,  
9.48,  0.28,  37.2660,  
12.53,  0.35,  37.4380,  
15.66,  0.42,  37.5790,  
