 ,Area,%Area
1,175.774,100
2,939.464,100
3,590.011,100
4,207.483,100
5,482.549,100
6,231.698,100
7,912.803,100
8,260.557,100
9,200.951,100
10,273.985,100
11,248.756,100
12,241.990,100
