No.	Pos. [°2Th.]	Iobs [cts]	Icalc [cts]	Iback [cts]	CT [s]	ESD	D spacings
113	33.7057	152.1771	 	 	224.7900	 	2.65698
114	33.7387	159.2769	 	 	224.7900	 	2.65446
115	33.7717	156.1864	 	 	224.7900	 	2.65194
116	33.8047	154.9067	 	 	224.7900	 	2.64943
117	33.8377	151.5400	 	 	224.7900	 	2.64692
118	33.8707	158.0127	 	 	224.7900	 	2.64442
119	33.9037	158.8286	 	 	224.7900	 	2.64192
120	33.9367	157.9028	 	 	224.7900	 	2.63943
121	33.9697	165.5951	 	 	224.7900	 	2.63694
122	34.0027	150.7641	 	 	224.7900	 	2.63445
123	34.0357	137.4658	 	 	224.7900	 	2.63197
124	34.0687	144.2222	 	 	224.7900	 	2.62950
125	34.1017	153.3062	 	 	224.7900	 	2.62703
126	34.1347	149.1156	 	 	224.7900	 	2.62457
127	34.1677	134.4944	 	 	224.7900	 	2.62211
128	34.2007	130.1207	 	 	224.7900	 	2.61965
129	34.2337	130.7531	 	 	224.7900	 	2.61720
130	34.2667	133.0210	 	 	224.7900	 	2.61476
131	34.2997	150.9317	 	 	224.7900	 	2.61232
132	34.3327	143.7908	 	 	224.7900	 	2.60988
133	34.3657	147.3488	 	 	224.7900	 	2.60745
134	34.3987	149.5658	 	 	224.7900	 	2.60503
135	34.4317	156.8375	 	 	224.7900	 	2.60260
136	34.4647	134.6334	 	 	224.7900	 	2.60019
137	34.4977	156.6395	 	 	224.7900	 	2.59778
138	34.5307	161.7214	 	 	224.7900	 	2.59537
139	34.5637	152.5450	 	 	224.7900	 	2.59297
140	34.5967	158.3103	 	 	224.7900	 	2.59057
141	34.6297	153.2216	 	 	224.7900	 	2.58818
142	34.6627	155.7488	 	 	224.7900	 	2.58579
143	34.6957	158.5101	 	 	224.7900	 	2.58340
144	34.7287	145.7773	 	 	224.7900	 	2.58102
145	34.7617	153.8379	 	 	224.7900	 	2.57865
146	34.7947	177.0118	 	 	224.7900	 	2.57628
147	34.8277	179.0601	 	 	224.7900	 	2.57391
148	34.8607	163.2929	 	 	224.7900	 	2.57155
