No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings
117,33.8377,116.9399, , ,224.7900, ,2.64692
118,33.8707,115.4728, , ,224.7900, ,2.64442
119,33.9037,121.1057, , ,224.7900, ,2.64192
120,33.9367,125.0108, , ,224.7900, ,2.63943
121,33.9697,123.0073, , ,224.7900, ,2.63694
122,34.0027,132.3986, , ,224.7900, ,2.63445
123,34.0357,131.5663, , ,224.7900, ,2.63197
124,34.0687,124.6683, , ,224.7900, ,2.62950
125,34.1017,132.1430, , ,224.7900, ,2.62703
126,34.1347,120.5001, , ,224.7900, ,2.62457
127,34.1677,112.5202, , ,224.7900, ,2.62211
128,34.2007,123.1766, , ,224.7900, ,2.61965
129,34.2337,125.0074, , ,224.7900, ,2.61720
130,34.2667,123.1474, , ,224.7900, ,2.61476
131,34.2997,119.2805, , ,224.7900, ,2.61232
132,34.3327,115.5999, , ,224.7900, ,2.60988
133,34.3657,118.2796, , ,224.7900, ,2.60745
134,34.3987,134.2822, , ,224.7900, ,2.60503
135,34.4317,137.2983, , ,224.7900, ,2.60260
136,34.4647,137.1282, , ,224.7900, ,2.60019
137,34.4977,134.4314, , ,224.7900, ,2.59778
138,34.5307,135.9561, , ,224.7900, ,2.59537
139,34.5637,140.9282, , ,224.7900, ,2.59297
140,34.5967,132.7360, , ,224.7900, ,2.59057
141,34.6297,134.9926, , ,224.7900, ,2.58818
142,34.6627,138.4874, , ,224.7900, ,2.58579
143,34.6957,150.1726, , ,224.7900, ,2.58340
144,34.7287,141.6276, , ,224.7900, ,2.58102
145,34.7617,127.7882, , ,224.7900, ,2.57865
146,34.7947,165.6733, , ,224.7900, ,2.57628
147,34.8277,152.4495, , ,224.7900, ,2.57391
148,34.8607,143.3004, , ,224.7900, ,2.57155
149,34.8937,146.0831, , ,224.7900, ,2.56920
150,34.9267,192.9644, , ,224.7900, ,2.56684
151,34.9597,184.5752, , ,224.7900, ,2.56450
152,34.9927,183.8335, , ,224.7900, ,2.56215
153,35.0257,211.2831, , ,224.7900, ,2.55982
154,35.0587,203.2093, , ,224.7900, ,2.55748
155,35.0917,208.8020, , ,224.7900, ,2.55515
156,35.1247,260.1898, , ,224.7900, ,2.55283
157,35.1577,287.9563, , ,224.7900, ,2.55051
158,35.1907,287.5496, , ,224.7900, ,2.54819
159,35.2237,321.9898, , ,224.7900, ,2.54588
160,35.2567,324.9519, , ,224.7900, ,2.54357
161,35.2897,287.8492, , ,224.7900, ,2.54127
162,35.3227,322.7071, , ,224.7900, ,2.53897
163,35.3557,360.1544, , ,224.7900, ,2.53668
164,35.3887,370.4752, , ,224.7900, ,2.53439
165,35.4217,370.0530, , ,224.7900, ,2.53210
166,35.4547,308.7814, , ,224.7900, ,2.52982
167,35.4877,309.2927, , ,224.7900, ,2.52754
168,35.5207,268.2468, , ,224.7900, ,2.52527
169,35.5537,263.8616, , ,224.7900, ,2.52300
170,35.5867,250.2000, , ,224.7900, ,2.52074
171,35.6197,231.8216, , ,224.7900, ,2.51848
172,35.6527,199.6767, , ,224.7900, ,2.51622
173,35.6857,172.5264, , ,224.7900, ,2.51397
174,35.7187,173.7003, , ,224.7900, ,2.51172
175,35.7517,157.3856, , ,224.7900, ,2.50948
176,35.7847,173.4875, , ,224.7900, ,2.50724
177,35.8177,147.9927, , ,224.7900, ,2.50501
178,35.8507,159.5918, , ,224.7900, ,2.50278
179,35.8837,154.7460, , ,224.7900, ,2.50055
180,35.9167,153.2201, , ,224.7900, ,2.49833
181,35.9497,147.4721, , ,224.7900, ,2.49611
182,35.9827,147.1439, , ,224.7900, ,2.49390
183,36.0157,144.4964, , ,224.7900, ,2.49169
184,36.0487,140.2624, , ,224.7900, ,2.48948
185,36.0817,138.3185, , ,224.7900, ,2.48728
186,36.1147,159.1676, , ,224.7900, ,2.48508
187,36.1477,153.1288, , ,224.7900, ,2.48289
188,36.1807,133.1829, , ,224.7900, ,2.48070
189,36.2137,143.8353, , ,224.7900, ,2.47852
190,36.2467,150.9387, , ,224.7900, ,2.47634
191,36.2797,143.0291, , ,224.7900, ,2.47416
192,36.3127,143.6745, , ,224.7900, ,2.47199
193,36.3457,135.5548, , ,224.7900, ,2.46982
194,36.3787,130.9130, , ,224.7900, ,2.46765
195,36.4117,137.8398, , ,224.7900, ,2.46549
196,36.4447,139.9228, , ,224.7900, ,2.46334
197,36.4777,121.7779, , ,224.7900, ,2.46118
198,36.5107,128.9187, , ,224.7900, ,2.45903
199,36.5437,139.0845, , ,224.7900, ,2.45689
200,36.5767,135.2236, , ,224.7900, ,2.45475
201,36.6097,132.6908, , ,224.7900, ,2.45261
202,36.6427,123.2055, , ,224.7900, ,2.45048
203,36.6757,129.6852, , ,224.7900, ,2.44835
204,36.7087,136.0278, , ,224.7900, ,2.44622
205,36.7417,140.4293, , ,224.7900, ,2.44410
206,36.7747,129.1512, , ,224.7900, ,2.44199
207,36.8077,127.0443, , ,224.7900, ,2.43987
208,36.8407,139.6499, , ,224.7900, ,2.43776
209,36.8737,132.6389, , ,224.7900, ,2.43566
210,36.9067,143.2678, , ,224.7900, ,2.43355
211,36.9397,137.8402, , ,224.7900, ,2.43146
212,36.9727,146.6594, , ,224.7900, ,2.42936
213,37.0057,150.1672, , ,224.7900, ,2.42727
214,37.0387,152.2331, , ,224.7900, ,2.42518
215,37.0717,142.9002, , ,224.7900, ,2.42310
216,37.1047,145.7150, , ,224.7900, ,2.42102
217,37.1377,118.8780, , ,224.7900, ,2.41895
218,37.1707,126.5736, , ,224.7900, ,2.41687
219,37.2037,133.9926, , ,224.7900, ,2.41481
220,37.2367,128.2242, , ,224.7900, ,2.41274
221,37.2697,116.4281, , ,224.7900, ,2.41068
222,37.3027,143.6266, , ,224.7900, ,2.40862
223,37.3357,145.4119, , ,224.7900, ,2.40657
224,37.3687,141.3814, , ,224.7900, ,2.40452
225,37.4017,133.6564, , ,224.7900, ,2.40248
226,37.4347,134.6514, , ,224.7900, ,2.40043
227,37.4677,150.7055, , ,224.7900, ,2.39840
228,37.5007,161.0095, , ,224.7900, ,2.39636
229,37.5337,157.2302, , ,224.7900, ,2.39433
230,37.5667,128.9027, , ,224.7900, ,2.39230
231,37.5997,130.3914, , ,224.7900, ,2.39028
232,37.6327,154.8057, , ,224.7900, ,2.38826
233,37.6657,163.1204, , ,224.7900, ,2.38624
234,37.6987,152.0422, , ,224.7900, ,2.38423
235,37.7317,169.1152, , ,224.7900, ,2.38222
236,37.7647,149.4745, , ,224.7900, ,2.38021
237,37.7977,165.2206, , ,224.7900, ,2.37821
