No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings
365,42.0217,94.1731, , ,224.7900, ,2.14840
366,42.0547,101.5245, , ,224.7900, ,2.14679
367,42.0877,104.5832, , ,224.7900, ,2.14519
368,42.1207,101.7019, , ,224.7900, ,2.14358
369,42.1537,83.1722, , ,224.7900, ,2.14198
370,42.1867,99.2950, , ,224.7900, ,2.14038
371,42.2197,87.6170, , ,224.7900, ,2.13879
372,42.2527,88.2079, , ,224.7900, ,2.13719
373,42.2857,83.1932, , ,224.7900, ,2.13560
374,42.3187,88.8393, , ,224.7900, ,2.13401
375,42.3517,95.1902, , ,224.7900, ,2.13242
376,42.3847,88.8490, , ,224.7900, ,2.13084
377,42.4177,81.4422, , ,224.7900, ,2.12926
378,42.4507,92.4226, , ,224.7900, ,2.12768
379,42.4837,85.7750, , ,224.7900, ,2.12610
380,42.5167,88.6580, , ,224.7900, ,2.12453
381,42.5497,79.3360, , ,224.7900, ,2.12296
382,42.5827,92.2618, , ,224.7900, ,2.12139
383,42.6157,86.4449, , ,224.7900, ,2.11982
384,42.6487,73.6799, , ,224.7900, ,2.11826
385,42.6817,74.3309, , ,224.7900, ,2.11670
386,42.7147,85.3408, , ,224.7900, ,2.11514
387,42.7477,70.0463, , ,224.7900, ,2.11358
388,42.7807,85.5325, , ,224.7900, ,2.11203
389,42.8137,89.5214, , ,224.7900, ,2.11048
390,42.8467,85.1693, , ,224.7900, ,2.10893
391,42.8797,86.9258, , ,224.7900, ,2.10738
392,42.9127,86.0051, , ,224.7900, ,2.10584
393,42.9457,85.4210, , ,224.7900, ,2.10429
394,42.9787,72.8779, , ,224.7900, ,2.10276
395,43.0117,69.1096, , ,224.7900, ,2.10122
396,43.0447,75.0549, , ,224.7900, ,2.09968
397,43.0777,82.9538, , ,224.7900, ,2.09815
398,43.1107,65.3379, , ,224.7900, ,2.09662
399,43.1437,79.5297, , ,224.7900, ,2.09510
400,43.1767,65.6602, , ,224.7900, ,2.09357
401,43.2097,81.0367, , ,224.7900, ,2.09205
402,43.2427,78.2738, , ,224.7900, ,2.09053
403,43.2757,68.8263, , ,224.7900, ,2.08901
404,43.3087,96.9605, , ,224.7900, ,2.08749
405,43.3417,75.9071, , ,224.7900, ,2.08598
406,43.3747,74.7557, , ,224.7900, ,2.08447
407,43.4077,72.4026, , ,224.7900, ,2.08296
408,43.4407,81.3963, , ,224.7900, ,2.08146
409,43.4737,86.3729, , ,224.7900, ,2.07995
410,43.5067,73.7266, , ,224.7900, ,2.07845
411,43.5397,76.7211, , ,224.7900, ,2.07695
412,43.5727,80.4077, , ,224.7900, ,2.07546
413,43.6057,73.8820, , ,224.7900, ,2.07396
414,43.6387,69.6598, , ,224.7900, ,2.07247
415,43.6717,69.7702, , ,224.7900, ,2.07098
416,43.7047,71.5030, , ,224.7900, ,2.06949
